
The following have been reloaded with a version change:
  1) CUDA/9.1.85-GCC-6.4.0-2.28 => CUDA/9.1.85

Modules loaded

Currently Loaded Modules:
  1) GCCcore/6.4.0
  2) binutils/2.28-GCCcore-6.4.0
  3) GCC/6.4.0-2.28
  4) gcccuda/2018a
  5) numactl/2.0.11-GCCcore-6.4.0
  6) zlib/1.2.11-GCCcore-6.4.0
  7) XZ/5.2.3-GCCcore-6.4.0
  8) libxml2/2.9.7-GCCcore-6.4.0
  9) libpciaccess/0.14-GCCcore-6.4.0
 10) hwloc/1.11.8-GCCcore-6.4.0
 11) OpenMPI/2.1.2-gcccuda-2018a
 12) OpenBLAS/0.2.20-GCC-6.4.0-2.28
 13) gompic/2018a
 14) FFTW/3.3.7-gompic-2018a
 15) ScaLAPACK/2.0.2-gompic-2018a-OpenBLAS-0.2.20
 16) fosscuda/2018a
 17) bzip2/1.0.6-GCCcore-6.4.0
 18) ncurses/6.0-GCCcore-6.4.0
 19) libreadline/7.0-GCCcore-6.4.0
 20) Tcl/8.6.8-GCCcore-6.4.0
 21) SQLite/3.21.0-GCCcore-6.4.0
 22) GMP/6.1.2-GCCcore-6.4.0
 23) libffi/3.2.1-GCCcore-6.4.0
 24) Python/3.6.4-fosscuda-2018a
 25) CUDA/9.1.85

 

Creating venv
Requirement already up-to-date: pip in ./venv/lib/python3.6/site-packages (19.3.1)
Requirement already up-to-date: setuptools in ./venv/lib/python3.6/site-packages (41.6.0)
Requirement already satisfied: cycler==0.10.0 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 1)) (0.10.0)
Requirement already satisfied: decorator==4.4.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 2)) (4.4.1)
Requirement already satisfied: imageio==2.6.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 3)) (2.6.1)
Requirement already satisfied: kiwisolver==1.1.0 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 4)) (1.1.0)
Requirement already satisfied: matplotlib==3.1.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 5)) (3.1.1)
Requirement already satisfied: networkx==2.4 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 6)) (2.4)
Requirement already satisfied: numpy==1.17.3 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 7)) (1.17.3)
Requirement already satisfied: pandas==0.25.3 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 8)) (0.25.3)
Requirement already satisfied: Pillow==6.2.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 9)) (6.2.1)
Requirement already satisfied: pyparsing==2.4.4 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 10)) (2.4.4)
Requirement already satisfied: python-dateutil==2.8.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 11)) (2.8.1)
Requirement already satisfied: pytz==2019.3 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 12)) (2019.3)
Requirement already satisfied: PyWavelets==1.1.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 13)) (1.1.1)
Requirement already satisfied: scikit-image==0.16.2 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 14)) (0.16.2)
Requirement already satisfied: scipy==1.3.2 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 15)) (1.3.2)
Requirement already satisfied: six==1.13.0 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 16)) (1.13.0)
Requirement already satisfied: torch==1.3.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 17)) (1.3.1)
Requirement already satisfied: torchvision==0.4.2 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 18)) (0.4.2)
Requirement already satisfied: setuptools in ./venv/lib/python3.6/site-packages (from kiwisolver==1.1.0->-r requirements.txt (line 4)) (41.6.0)
Starting execution
Starting Training
Epoch 1/200, time elapsed: 64.96s, training loss: 16345.549366344105, validation loss: 99599.7578125 -- validation accuracy: 0.38357919454574585, test accuracy: 0.3799273669719696
Epoch 2/200, time elapsed: 112.74s, training loss: 712.4324969667377, validation loss: 627.1498413085938 -- validation accuracy: 0.8827645778656006, test accuracy: 0.8803894519805908
Epoch 3/200, time elapsed: 154.76s, training loss: 590.2553738680753, validation loss: 619.3907470703125 -- validation accuracy: 0.8815714120864868, test accuracy: 0.8803894519805908
Epoch 4/200, time elapsed: 196.73s, training loss: 582.5818564675071, validation loss: 608.3419799804688 -- validation accuracy: 0.8825920820236206, test accuracy: 0.8803894519805908
Epoch 5/200, time elapsed: 244.45s, training loss: 576.2856704249526, validation loss: 591.32275390625 -- validation accuracy: 0.8863255977630615, test accuracy: 0.8824368715286255
Epoch 6/200, time elapsed: 286.62s, training loss: 572.1793490323154, validation loss: 597.2711791992188 -- validation accuracy: 0.8859169483184814, test accuracy: 0.8824368715286255
Epoch 7/200, time elapsed: 328.58s, training loss: 572.2251133774266, validation loss: 589.0542602539062 -- validation accuracy: 0.8852100372314453, test accuracy: 0.8824368715286255
Epoch 8/200, time elapsed: 370.65s, training loss: 564.8933188698509, validation loss: 604.8424072265625 -- validation accuracy: 0.8851984143257141, test accuracy: 0.8824368715286255
Epoch 9/200, time elapsed: 412.72s, training loss: 567.2799580891927, validation loss: 600.7667236328125 -- validation accuracy: 0.8843437433242798, test accuracy: 0.8824368715286255
Epoch 10/200, time elapsed: 454.90s, training loss: 566.4379272460938, validation loss: 590.4176025390625 -- validation accuracy: 0.8860991597175598, test accuracy: 0.8824368715286255
Epoch 11/200, time elapsed: 502.58s, training loss: 565.7502848307291, validation loss: 577.4044189453125 -- validation accuracy: 0.8867819905281067, test accuracy: 0.8825649619102478
Epoch 12/200, time elapsed: 544.67s, training loss: 558.8498646129261, validation loss: 621.3287353515625 -- validation accuracy: 0.8808634281158447, test accuracy: 0.8825649619102478
Epoch 13/200, time elapsed: 586.65s, training loss: 562.716347434304, validation loss: 597.0155029296875 -- validation accuracy: 0.8841847777366638, test accuracy: 0.8825649619102478
Epoch 14/200, time elapsed: 628.65s, training loss: 557.6571932705966, validation loss: 587.7994995117188 -- validation accuracy: 0.8854357004165649, test accuracy: 0.8825649619102478
Epoch 15/200, time elapsed: 670.55s, training loss: 556.4271221738873, validation loss: 619.578857421875 -- validation accuracy: 0.8825476169586182, test accuracy: 0.8825649619102478
Epoch 16/200, time elapsed: 712.66s, training loss: 552.5001701586174, validation loss: 637.7119140625 -- validation accuracy: 0.8818339109420776, test accuracy: 0.8825649619102478
Epoch 17/200, time elapsed: 754.76s, training loss: 561.157734264027, validation loss: 678.6377563476562 -- validation accuracy: 0.8793021440505981, test accuracy: 0.8825649619102478
Epoch 18/200, time elapsed: 802.57s, training loss: 526.0131586248225, validation loss: 580.6654052734375 -- validation accuracy: 0.8869324922561646, test accuracy: 0.8850697875022888
Epoch 19/200, time elapsed: 850.42s, training loss: 463.3945784135298, validation loss: 545.04541015625 -- validation accuracy: 0.888707160949707, test accuracy: 0.8868692517280579
Epoch 20/200, time elapsed: 898.27s, training loss: 410.2372547496449, validation loss: 484.6832275390625 -- validation accuracy: 0.8961832523345947, test accuracy: 0.895199179649353
Epoch 21/200, time elapsed: 940.46s, training loss: 385.9512097907789, validation loss: 513.7781982421875 -- validation accuracy: 0.8934509754180908, test accuracy: 0.895199179649353
Epoch 22/200, time elapsed: 982.86s, training loss: 378.2174377441406, validation loss: 1713.1171875 -- validation accuracy: 0.8287613987922668, test accuracy: 0.895199179649353
Epoch 23/200, time elapsed: 1025.22s, training loss: 366.3521497321851, validation loss: 599.9979858398438 -- validation accuracy: 0.887307345867157, test accuracy: 0.895199179649353
Epoch 24/200, time elapsed: 1068.22s, training loss: 354.81708226059425, validation loss: 511.669677734375 -- validation accuracy: 0.8888807892799377, test accuracy: 0.895199179649353
Epoch 25/200, time elapsed: 1116.64s, training loss: 356.89491780598956, validation loss: 430.2748718261719 -- validation accuracy: 0.8990619778633118, test accuracy: 0.8997963666915894
